"Pathway","Total","Expected","Hits","Pval"
"cellular response to stress",1620,15.4,44,3.03e-08
"positive regulation of cell proliferation",786,7.43,27,1.66e-06
"response to hypoxia",245,2.31,15,2.53e-06
"regulation of cell cycle",886,8.37,28,2.53e-06
"regulation of cell proliferation",1430,13.5,36,4.3e-06
"response to abiotic stimulus",876,8.28,27,5.44e-06
"negative regulation of cell cycle",520,4.91,20,1.04e-05
"regulation of molecular function",2250,21.2,46,1.08e-05
"regulation of cyclin-dependent protein kinase activity",89,0.841,9,1.4e-05
"negative regulation of apoptotic process",679,6.42,22,2.56e-05
"homeostasis of number of cells",196,1.85,12,2.56e-05
"negative regulation of apoptotic process",679,6.42,22,2.56e-05
"negative regulation of programmed cell death",691,6.53,22,3.18e-05
"interphase of mitotic cell cycle",435,4.11,17,4.24e-05
"interphase",443,4.19,17,5.09e-05
"regulation of catalytic activity",1730,16.4,37,5.56e-05
"brain development",559,5.28,19,6.09e-05
"regulation of apoptotic process",1540,14.5,34,6.9e-05
"regulation of kinase activity",743,7.02,22,7.3e-05
"programmed cell death",2160,20.4,42,7.58e-05
"regulation of programmed cell death",1550,14.7,34,7.7e-05
"regulation of cellular protein metabolic process",1560,14.7,34,7.9e-05
"regulation of protein kinase activity",698,6.6,21,8.33e-05
"regulation of transferase activity",768,7.26,22,9.93e-05
"apoptotic process",2130,20.1,41,0.00011
"apoptotic process",2130,20.1,41,0.00011
"cell proliferation",1900,18,38,0.000118
"regulation of protein modification process",1250,11.8,29,0.000125
"regulation of protein phosphorylation",987,9.33,25,0.000143
"cell cycle",1860,17.6,37,0.000163
"regulation of phosphorylation",1070,10.1,26,0.000169
"response to hormone stimulus",751,7.1,21,0.000187
"negative regulation of metabolic process",1820,17.2,36,0.000241
"regulation of protein metabolic process",1820,17.2,36,0.000243
"mitotic cell cycle",968,9.15,24,0.000246
"response to ionizing radiation",112,1.06,8,0.000246
"cellular response to extracellular stimulus",149,1.41,9,0.000246
"positive regulation of cell cycle",113,1.07,8,0.000246
"regulation of sequence-specific DNA binding transcription factor activity",372,3.51,14,0.000246
"G2/M transition of mitotic cell cycle",150,1.42,9,0.000253
"cell cycle arrest",428,4.04,15,0.000253
"central nervous system development",784,7.41,21,0.000272
"cell cycle checkpoint",281,2.66,12,0.000272
"response to DNA damage stimulus",862,8.14,22,0.000338
"regulation of mitotic cell cycle",351,3.32,13,0.00051
"positive regulation of metabolic process",2690,25.4,45,0.000737
"protein phosphorylation",1480,14,30,0.000745
"positive regulation of cellular metabolic process",2530,23.9,43,0.000745
"response to stress",4150,39.2,61,0.00079
"response to extracellular stimulus",320,3.02,12,0.000822
"intracellular receptor mediated signaling pathway",270,2.55,11,0.000822
"negative regulation of cellular metabolic process",1660,15.7,32,0.000943
"DNA damage checkpoint",143,1.35,8,0.000955
"response to endogenous stimulus",1360,12.9,28,0.000955
"negative regulation of transcription from RNA polymerase II promoter",552,5.22,16,0.000968
"regulation of transcription from RNA polymerase II promoter",1610,15.2,31,0.00113
"regulation of neuron apoptotic process",150,1.42,8,0.00125
"cell division",507,4.79,15,0.00125
"DNA integrity checkpoint",152,1.44,8,0.00134
"aging",197,1.86,9,0.00141
"response to radiation",345,3.26,12,0.00141
"gland development",303,2.86,11,0.00187
"immune system development",722,6.82,18,0.00198
"negative regulation of signal transduction",790,7.46,19,0.00201
"positive regulation of signal transduction",998,9.43,22,0.00203
"phosphorylation",1680,15.9,31,0.00204
"cell cycle phase",1070,10.1,23,0.00204
"muscle cell differentiation",363,3.43,12,0.00204
"negative regulation of protein metabolic process",540,5.1,15,0.00211
"cellular response to nutrient levels",126,1.19,7,0.00224
"neuron apoptotic process",169,1.6,8,0.00232
"signal transduction in response to DNA damage",129,1.22,7,0.00248
"hematopoietic or lymphoid organ development",679,6.42,17,0.00248
"response to steroid hormone stimulus",267,2.52,10,0.00248
"cell cycle process",1420,13.4,27,0.00315
"intrinsic apoptotic signaling pathway",135,1.28,7,0.00315
"growth",839,7.93,19,0.00359
"intracellular protein kinase cascade",1140,10.7,23,0.00406
"positive regulation of catalytic activity",1070,10.1,22,0.00436
"negative regulation of transferase activity",189,1.79,8,0.00439
"cell-substrate adhesion",241,2.28,9,0.00477
"response to nutrient levels",295,2.79,10,0.00491
"B cell activation",194,1.83,8,0.00503
"viral reproductive process",597,5.64,15,0.00504
"mitotic cell cycle checkpoint",149,1.41,7,0.00511
"enzyme linked receptor protein signaling pathway",1180,11.1,23,0.00591
"mitosis",420,3.97,12,0.00595
"response to UV",112,1.06,6,0.00625
"regulation of protein stability",114,1.08,6,0.00662
"positive regulation of cellular protein metabolic process",968,9.15,20,0.00662
