"Pathway","Total","Expected","Hits","Pval"
"p53 signaling pathway",68,1,10,3.7e-06
"Pathways in cancer",310,4.57,19,3.7e-06
"Prostate cancer",87,1.28,11,3.7e-06
"Glioma",65,0.958,8,0.000207
"Melanoma",68,1,7,0.00196
"Bladder cancer",29,0.428,5,0.00196
"Colorectal cancer",49,0.722,6,0.00217
"Chronic myeloid leukemia",73,1.08,7,0.00227
"Focal adhesion",200,2.95,11,0.00327
"Small cell lung cancer",80,1.18,7,0.00327
"Epithelial cell signaling in Helicobacter pylori infection",37,0.546,5,0.00359
"Epstein-Barr virus infection",91,1.34,7,0.0061
"Fc gamma R-mediated phagocytosis",97,1.43,7,0.00774
"Pancreatic cancer",69,1.02,6,0.00774
"Dorso-ventral axis formation",12,0.177,3,0.00832
"HTLV-I infection",199,2.93,10,0.00832
"NOD-like receptor signaling pathway",49,0.722,5,0.00886
"Non-small cell lung cancer",52,0.767,5,0.011
"ErbB signaling pathway",87,1.28,6,0.0177
"Pathogenic Escherichia coli infection",35,0.516,4,0.0177
"Renal cell carcinoma",60,0.885,5,0.0181
"Cell cycle",124,1.83,7,0.0211
"Endometrial cancer",44,0.649,4,0.0356
"Regulation of actin cytoskeleton",182,2.68,8,0.0445
"Progesterone-mediated oocyte maturation",80,1.18,5,0.0534
"Gap junction",89,1.31,5,0.0801
"Toxoplasmosis",93,1.37,5,0.0923
"MAPK signaling pathway",265,3.91,9,0.108
"Jak-STAT signaling pathway",99,1.46,5,0.108
"T cell receptor signaling pathway",98,1.44,5,0.108
"Hepatitis C",100,1.47,5,0.108
"Amyotrophic lateral sclerosis (ALS)",39,0.575,3,0.13
"Fc epsilon RI signaling pathway",75,1.11,4,0.158
"Axon guidance",118,1.74,5,0.186
"Apoptosis",83,1.22,4,0.192
"Notch signaling pathway",47,0.693,3,0.192
"TGF-beta signaling pathway",84,1.24,4,0.192
"Neurotrophin signaling pathway",123,1.81,5,0.192
"Type II diabetes mellitus",48,0.708,3,0.192
"Prion diseases",21,0.31,2,0.204
"Pertussis",52,0.767,3,0.215
"Phagosome",53,0.781,3,0.22
"Bacterial invasion of epithelial cells",56,0.826,3,0.246
"Acute myeloid leukemia",57,0.84,3,0.252
"Chemokine signaling pathway",189,2.79,6,0.283
"Measles",102,1.5,4,0.292
"Thyroid cancer",28,0.413,2,0.292
"Leukocyte transendothelial migration",108,1.59,4,0.335
"Adherens junction",70,1.03,3,0.362
"Long-term depression",70,1.03,3,0.362
"Aldosterone-regulated sodium reabsorption",34,0.501,2,0.378
"Osteoclast differentiation",119,1.75,4,0.401
"B cell receptor signaling pathway",75,1.11,3,0.401
"VEGF signaling pathway",76,1.12,3,0.405
"Regulation of autophagy",8,0.118,1,0.434
"Mineral absorption",8,0.118,1,0.434
"Insulin signaling pathway",137,2.02,4,0.542
"Lysine degradation",47,0.693,2,0.569
"Wnt signaling pathway",144,2.12,4,0.574
"RIG-I-like receptor signaling pathway",49,0.722,2,0.574
"Cholinergic synapse",95,1.4,3,0.574
"GnRH signaling pathway",94,1.39,3,0.574
"Toll-like receptor signaling pathway",97,1.43,3,0.586
"Leishmaniasis",51,0.752,2,0.586
"Melanogenesis",101,1.49,3,0.621
"Oocyte meiosis",108,1.59,3,0.699
"Carbohydrate digestion and absorption",18,0.265,1,0.761
"Glycolysis / Gluconeogenesis",65,0.958,2,0.765
"Glyoxylate and dicarboxylate metabolism",19,0.28,1,0.765
"Tight junction",118,1.74,3,0.765
"Tuberculosis",174,2.57,4,0.765
"Transcriptional misregulation in cancer",19,0.28,1,0.765
"Long-term potentiation",70,1.03,2,0.821
"Salmonella infection",72,1.06,2,0.842
"Phosphatidylinositol signaling system",75,1.11,2,0.879
"Pentose phosphate pathway",27,0.398,1,0.926
"SNARE interactions in vesicular transport",27,0.398,1,0.926
"Natural killer cell mediated cytotoxicity",138,2.03,3,0.926
"Citrate cycle (TCA cycle)",30,0.442,1,0.99
"Fructose and mannose metabolism",36,0.531,1,1
"Purine metabolism",163,2.4,2,1
"Pyrimidine metabolism",101,1.49,2,1
"Alanine, aspartate and glutamate metabolism",32,0.472,1,1
"Cysteine and methionine metabolism",34,0.501,1,1
"Arginine and proline metabolism",56,0.826,1,1
"Inositol phosphate metabolism",58,0.855,1,1
"Sphingolipid metabolism",46,0.678,1,1
"Pyruvate metabolism",41,0.604,1,1
"Ribosome biogenesis in eukaryotes",55,0.811,1,1
"RNA transport",126,1.86,2,1
"mRNA surveillance pathway",82,1.21,1,1
"Calcium signaling pathway",177,2.61,1,1
"Cytokine-cytokine receptor interaction",253,3.73,2,1
"Protein processing in endoplasmic reticulum",129,1.9,2,1
"Endocytosis",101,1.49,2,1
"mTOR signaling pathway",45,0.663,1,1
"Vascular smooth muscle contraction",109,1.61,1,1
"Hedgehog signaling pathway",56,0.826,1,1
"Cell adhesion molecules (CAMs)",121,1.78,2,1
"Retrograde endocannabinoid signaling",60,0.885,1,1
"Serotonergic synapse",88,1.3,2,1
"Dopaminergic synapse",124,1.83,1,1
"Endocrine and other factor-regulated calcium reabsorption",36,0.531,1,1
"Amphetamine addiction",64,0.944,1,1
"Alcoholism",166,2.45,1,1
"Shigellosis",47,0.693,1,1
"Chagas disease (American trypanosomiasis)",89,1.31,2,1
"Amoebiasis",46,0.678,1,1
"Influenza A",107,1.58,2,1
"Herpes simplex infection",103,1.52,2,1
"Basal cell carcinoma",47,0.693,1,1
