"Pathway","Total","Expected","Hits","Pval"
"negative regulation of cell proliferation",585,2.7,12,0.00631
"regulation of cell proliferation",1430,6.6,19,0.00631
"cell proliferation",1900,8.79,22,0.00674
"G1 phase of mitotic cell cycle",47,0.217,4,0.00882
"enzyme linked receptor protein signaling pathway",1180,5.43,16,0.00882
"myeloid cell differentiation",296,1.37,8,0.00882
"G1 phase",49,0.226,4,0.00882
"response to endogenous stimulus",1360,6.3,17,0.0114
"positive regulation of cell proliferation",786,3.63,12,0.0166
"response to organic substance",2500,11.5,24,0.0166
"cell-cell junction organization",186,0.859,6,0.0166
"regulation of signal transduction",2440,11.2,23,0.0233
"developmental growth",290,1.34,7,0.0233
"positive regulation of signal transduction",998,4.61,13,0.0302
"regulation of myeloid cell differentiation",145,0.67,5,0.0302
"positive regulation of metabolic process",2690,12.4,24,0.0311
"transmembrane receptor protein tyrosine kinase signaling pathway",782,3.61,11,0.0387
"response to chemical stimulus",3830,17.7,30,0.0387
"cellular component assembly",1790,8.26,18,0.0407
"negative regulation of apoptotic process",679,3.14,10,0.0407
"negative regulation of apoptotic process",679,3.14,10,0.0407
"negative regulation of programmed cell death",691,3.19,10,0.0443
"mitochondrial membrane organization",47,0.217,3,0.0471
"positive regulation of cellular metabolic process",2530,11.7,22,0.0538
"response to oxidative stress",279,1.29,6,0.0587
"response to abiotic stimulus",876,4.05,11,0.0625
"response to hormone stimulus",751,3.47,10,0.0625
"homeostasis of number of cells",196,0.905,5,0.0625
"regulation of molecular function",2250,10.4,20,0.0625
"apoptotic process",2130,9.83,19,0.0656
"hemopoiesis",640,2.96,9,0.0656
"negative regulation of myeloid cell differentiation",60,0.277,3,0.0656
"negative regulation of cellular process",4110,19,30,0.0656
"gland development",303,1.4,6,0.0656
"apoptotic process",2130,9.83,19,0.0656
"programmed cell death",2160,9.96,19,0.0712
"regulation of protein metabolic process",1820,8.43,17,0.0712
"transforming growth factor beta receptor signaling pathway",221,1.02,5,0.0759
"regulation of growth",548,2.53,8,0.0759
"regulation of apoptotic process",1540,7.09,15,0.0759
