hsa-miR-375,,hsa-miR-149,hsa-miR-149-5p
hsa-miR-149-5p,,hsa-miR-29b-2*,hsa-miR-29b-2-5p
hsa-miR-29b-2-5p,,hsa-miR-10a,hsa-miR-10a-5p
hsa-miR-342-3p,,hsa-miR-625,hsa-miR-625-5p
hsa-miR-10a-5p,,hsa-miR-432,hsa-miR-432-5p
hsa-miR-342-5p,,hsa-miR-489,hsa-miR-489-3p
hsa-miR-139-5p,,hsa-miR-449b,hsa-miR-449b-5p
hsa-miR-625-5p,,hsa-miR-487b,hsa-miR-487b-3p
hsa-miR-432-5p,,hsa-miR-382,hsa-miR-382-5p
hsa-miR-489-3p,,hsa-miR-92a-1*,hsa-miR-92a-1-5p
hsa-miR-449b-5p,,hsa-miR-135b,hsa-miR-135b-5p
hsa-miR-449a,,hsa-miR-105,hsa-miR-105-5p
hsa-miR-487b-3p,,hsa-miR-584,hsa-miR-584-5p
hsa-miR-382-5p,,hsa-miR-19a,hsa-miR-19a-3p
hsa-miR-92a-1-5p,,hsa-miR-224,hsa-miR-224-5p
hsa-miR-362-3p,,hsa-miR-505,hsa-miR-505-3p
hsa-miR-767-5p,,hsa-miR-138,hsa-miR-138-5p
hsa-miR-501-5p,,hsa-miR-18b,hsa-miR-18b-5p
hsa-miR-135b-5p,,hsa-miR-18a,hsa-miR-18a-5p
hsa-miR-516a-5p,,hsa-miR-452,hsa-miR-452-5p
hsa-miR-105-5p,,hsa-miR-375,
hsa-miR-584-5p,,hsa-miR-342-3p,
hsa-miR-19a-3p,,hsa-miR-342-5p,
hsa-miR-224-5p,,hsa-miR-139-5p,
hsa-miR-505-3p,,hsa-miR-449a,
hsa-miR-138-5p,,hsa-miR-362-3p,
hsa-miR-18b-5p,,hsa-miR-767-5p,
hsa-miR-18a-5p,,hsa-miR-501-5p,
hsa-miR-452-5p,,hsa-miR-516a-5p,
hsa-miR-455-5p,,hsa-miR-455-5p,
hsa-miR-934,,hsa-miR-934,
